customer_id,signup_date,signup_quarter,region,segment,plan,billing_cycle,acquisition_channel,engagement_score,monthly_price_usd,churn_month,churn_reason,risk_at_month_3,risk_at_month_12,status_month_3,status_month_12,months_billed,observed_revenue_12m_usd
RC-00056,2024-11-19,Q4 2024,North America,Small Business,Standard,Annual,Organic,0.411,24.65,5,Price,False,False,Active,Churned,5,123.25
RC-00057,2024-10-10,Q4 2024,Other,Individual,Basic,Monthly,Organic,0.795,15,,,False,False,Active,Active,12,180
RC-00058,2024-08-20,Q3 2024,North America,Individual,Basic,Monthly,Organic,0.371,15,2,Alternative,False,False,Churned,Churned,2,30
RC-00059,2024-10-28,Q4 2024,North America,Individual,Premium,Annual,Organic,0.801,41.65,7,Alternative,False,False,Active,Churned,7,291.55
RC-00060,2024-05-18,Q2 2024,Europe,Small Business,Standard,Annual,Social,0.191,24.65,,,True,True,At risk,At risk,12,295.8
RC-00061,2024-12-26,Q4 2024,North America,Small Business,Premium,Monthly,Organic,0.581,49,,,False,False,Active,Active,12,588
RC-00062,2024-10-01,Q4 2024,North America,Individual,Standard,Monthly,Referral,0.464,29,9,Low usage,False,False,Active,Churned,9,261
RC-00063,2024-09-24,Q3 2024,Europe,Individual,Standard,Monthly,Social,0.412,29,,,False,True,Active,At risk,12,348
RC-00064,2024-11-14,Q4 2024,Asia-Pacific,Individual,Premium,Monthly,Social,0.654,49,,,False,False,Active,Active,12,588
RC-00065,2024-01-18,Q1 2024,North America,Individual,Basic,Monthly,Paid Search,0.483,15,,,False,False,Active,Active,12,180
RC-00066,2024-07-17,Q3 2024,Europe,Individual,Standard,Monthly,Referral,0.41,29,,,False,False,Active,Active,12,348
RC-00067,2024-10-21,Q4 2024,North America,Individual,Basic,Monthly,Paid Search,0.837,15,,,False,False,Active,Active,12,180
RC-00068,2024-11-05,Q4 2024,Other,Team,Basic,Annual,Referral,0.314,12.75,,,True,True,At risk,At risk,12,153.0
RC-00069,2024-02-27,Q1 2024,Europe,Individual,Premium,Annual,Referral,0.38,41.65,11,Low usage,False,False,Active,Churned,11,458.15
RC-00070,2024-01-10,Q1 2024,Europe,Freelancer,Standard,Monthly,Partner,0.57,29,,,True,False,At risk,Active,12,348
RC-00071,2024-11-22,Q4 2024,Asia-Pacific,Individual,Standard,Monthly,Social,0.86,29,,,False,False,Active,Active,12,348
RC-00072,2024-10-14,Q4 2024,Europe,Individual,Standard,Monthly,Paid Search,0.389,29,,,False,False,Active,Active,12,348
RC-00073,2024-07-02,Q3 2024,North America,Individual,Standard,Monthly,Referral,0.905,29,8,Price,False,False,Active,Churned,8,232
RC-00074,2024-02-10,Q1 2024,North America,Individual,Premium,Annual,Referral,0.58,41.65,,,False,False,Active,Renewed,12,499.8
RC-00075,2024-04-02,Q2 2024,Asia-Pacific,Small Business,Basic,Monthly,Referral,0.355,15,,,False,False,Active,Active,12,180
RC-00076,2024-10-03,Q4 2024,Other,Freelancer,Basic,Annual,Referral,0.604,12.75,,,False,False,Active,Renewed,12,153.0
RC-00077,2024-08-13,Q3 2024,North America,Individual,Standard,Monthly,Referral,0.545,29,,,False,False,Active,Active,12,348
RC-00078,2024-02-15,Q1 2024,Asia-Pacific,Individual,Premium,Monthly,Social,0.658,49,,,False,False,Active,Active,12,588
RC-00079,2024-02-20,Q1 2024,Europe,Individual,Basic,Monthly,Social,0.242,15,,,True,True,At risk,At risk,12,180
RC-00080,2024-03-13,Q1 2024,North America,Freelancer,Premium,Monthly,Referral,0.596,49,,,False,False,Active,Active,12,588
RC-00081,2024-01-28,Q1 2024,North America,Individual,Standard,Annual,Social,0.081,24.65,4,Changed needs,True,False,At risk,Churned,4,98.6
RC-00082,2024-02-13,Q1 2024,Asia-Pacific,Team,Basic,Annual,Paid Search,0.742,12.75,,,False,True,Active,At risk,12,153.0
RC-00083,2024-06-01,Q2 2024,Europe,Individual,Basic,Monthly,Referral,0.475,15,,,False,True,Active,At risk,12,180
RC-00084,2024-12-26,Q4 2024,North America,Freelancer,Premium,Annual,Organic,0.659,41.65,,,False,False,Active,Renewed,12,499.8
RC-00085,2024-10-18,Q4 2024,Europe,Individual,Basic,Monthly,Paid Search,0.55,15,2,Low usage,False,False,Churned,Churned,2,30
RC-00086,2024-12-17,Q4 2024,North America,Individual,Standard,Monthly,Paid Search,0.689,29,,,False,False,Active,Active,12,348
RC-00087,2024-09-20,Q3 2024,North America,Freelancer,Standard,Annual,Referral,0.741,24.65,,,False,False,Active,Renewed,12,295.8
RC-00088,2024-10-14,Q4 2024,North America,Individual,Standard,Annual,Social,0.357,24.65,,,True,False,At risk,Renewed,12,295.8
RC-00089,2024-10-11,Q4 2024,North America,Small Business,Basic,Monthly,Paid Search,0.895,15,,,False,False,Active,Active,12,180
RC-00090,2024-10-07,Q4 2024,North America,Individual,Standard,Annual,Social,0.269,24.65,,,True,True,At risk,At risk,12,295.8
RC-00091,2024-01-07,Q1 2024,Other,Individual,Standard,Monthly,Referral,0.676,29,,,True,False,At risk,Active,12,348
RC-00092,2024-02-08,Q1 2024,North America,Small Business,Premium,Monthly,Organic,0.854,49,,,False,False,Active,Active,12,588
RC-00093,2024-06-08,Q2 2024,Europe,Freelancer,Premium,Annual,Paid Search,0.701,41.65,,,False,True,Active,At risk,12,499.8
RC-00094,2024-11-06,Q4 2024,North America,Freelancer,Basic,Monthly,Social,0.437,15,4,Alternative,False,False,Active,Churned,4,60
RC-00095,2024-12-28,Q4 2024,Europe,Freelancer,Premium,Annual,Social,0.316,41.65,,,True,True,At risk,At risk,12,499.8
RC-00096,2024-01-23,Q1 2024,North America,Individual,Premium,Annual,Organic,0.498,41.65,7,Alternative,False,False,Active,Churned,7,291.55
RC-00097,2024-08-12,Q3 2024,Asia-Pacific,Individual,Premium,Annual,Paid Search,0.883,41.65,,,False,False,Active,Renewed,12,499.8
RC-00098,2024-11-20,Q4 2024,Other,Individual,Standard,Monthly,Paid Search,0.495,29,,,False,False,Active,Active,12,348
RC-00099,2024-04-13,Q2 2024,North America,Freelancer,Premium,Monthly,Paid Search,0.515,49,5,Price,False,False,Active,Churned,5,245
RC-00100,2024-06-27,Q2 2024,Europe,Small Business,Basic,Annual,Social,0.965,12.75,,,False,False,Active,Renewed,12,153.0
RC-00101,2024-09-03,Q3 2024,North America,Individual,Enterprise,Annual,Partner,0.39,75.65,,,False,False,Active,Renewed,12,907.8
RC-00102,2024-05-16,Q2 2024,Asia-Pacific,Individual,Basic,Monthly,Paid Search,0.453,15,,,False,False,Active,Active,12,180
RC-00103,2024-09-17,Q3 2024,North America,Individual,Premium,Monthly,Referral,0.736,49,6,Low usage,False,False,Active,Churned,6,294
RC-00104,2024-10-24,Q4 2024,Europe,Individual,Standard,Annual,Organic,0.662,24.65,,,False,False,Active,Renewed,12,295.8
RC-00105,2024-12-22,Q4 2024,Europe,Small Business,Premium,Annual,Paid Search,0.509,41.65,,,False,False,Active,Renewed,12,499.8
RC-00106,2024-07-19,Q3 2024,Other,Individual,Basic,Monthly,Paid Search,0.382,15,,,False,False,Active,Active,12,180
RC-00107,2024-11-15,Q4 2024,North America,Individual,Enterprise,Annual,Paid Search,0.826,75.65,,,False,True,Active,At risk,12,907.8
RC-00108,2024-02-04,Q1 2024,North America,Small Business,Basic,Monthly,Paid Search,0.83,15,10,Payment issue,False,False,Active,Churned,10,150
RC-00109,2024-04-04,Q2 2024,North America,Individual,Basic,Monthly,Organic,0.495,15,,,False,False,Active,Active,12,180
RC-00110,2024-12-03,Q4 2024,Asia-Pacific,Individual,Standard,Monthly,Paid Search,0.577,29,,,False,False,Active,Active,12,348
RC-00111,2024-07-16,Q3 2024,Asia-Pacific,Small Business,Premium,Annual,Referral,0.45,41.65,,,False,False,Active,Renewed,12,499.8
RC-00112,2024-08-06,Q3 2024,North America,Individual,Premium,Annual,Paid Search,0.547,41.65,,,False,False,Active,Renewed,12,499.8
RC-00113,2024-04-10,Q2 2024,Asia-Pacific,Small Business,Basic,Monthly,Referral,0.816,15,,,False,False,Active,Active,12,180
RC-00114,2024-07-16,Q3 2024,Asia-Pacific,Individual,Standard,Monthly,Referral,0.743,29,,,False,False,Active,Active,12,348
RC-00115,2024-07-28,Q3 2024,North America,Small Business,Standard,Monthly,Paid Search,0.728,29,,,False,False,Active,Active,12,348
RC-00116,2024-10-13,Q4 2024,Other,Individual,Basic,Annual,Organic,0.106,12.75,,,True,True,At risk,At risk,12,153.0
RC-00117,2024-12-15,Q4 2024,North America,Freelancer,Standard,Annual,Paid Search,0.383,24.65,,,False,False,Active,Renewed,12,295.8
RC-00118,2024-02-25,Q1 2024,Other,Team,Standard,Annual,Referral,0.852,24.65,,,False,False,Active,Renewed,12,295.8
RC-00119,2024-12-10,Q4 2024,North America,Freelancer,Premium,Annual,Paid Search,0.897,41.65,,,False,False,Active,Renewed,12,499.8
RC-00120,2024-11-21,Q4 2024,Europe,Individual,Standard,Monthly,Social,0.391,29,6,Low usage,False,False,Active,Churned,6,174
RC-00121,2024-09-13,Q3 2024,North America,Individual,Premium,Monthly,Paid Search,0.651,49,,,False,False,Active,Active,12,588
RC-00122,2024-01-01,Q1 2024,Other,Freelancer,Enterprise,Annual,Partner,0.281,75.65,,,True,True,At risk,At risk,12,907.8
RC-00123,2024-04-27,Q2 2024,North America,Team,Premium,Annual,Paid Search,0.418,41.65,,,True,False,At risk,Renewed,12,499.8
RC-00124,2024-06-11,Q2 2024,North America,Small Business,Standard,Monthly,Paid Search,0.504,29,,,False,False,Active,Active,12,348
RC-00125,2024-12-28,Q4 2024,North America,Individual,Basic,Monthly,Paid Search,0.396,15,4,Price,False,False,Active,Churned,4,60
RC-00126,2024-09-12,Q3 2024,Asia-Pacific,Individual,Standard,Annual,Referral,0.572,24.65,,,False,False,Active,Renewed,12,295.8
RC-00127,2024-12-15,Q4 2024,Asia-Pacific,Individual,Standard,Annual,Organic,0.546,24.65,,,False,False,Active,Renewed,12,295.8
RC-00128,2024-10-19,Q4 2024,North America,Freelancer,Standard,Monthly,Paid Search,0.731,29,4,Alternative,False,False,Active,Churned,4,116
RC-00129,2024-11-11,Q4 2024,North America,Individual,Standard,Monthly,Paid Search,0.252,29,,,True,True,At risk,At risk,12,348
RC-00130,2024-07-27,Q3 2024,North America,Small Business,Basic,Monthly,Referral,0.437,15,,,False,False,Active,Active,12,180
RC-00131,2024-11-14,Q4 2024,North America,Freelancer,Standard,Monthly,Organic,0.455,29,,,False,False,Active,Active,12,348
RC-00132,2024-10-28,Q4 2024,North America,Freelancer,Premium,Annual,Referral,0.682,41.65,,,True,False,At risk,Renewed,12,499.8
RC-00133,2024-02-25,Q1 2024,Other,Team,Standard,Monthly,Organic,0.777,29,,,False,False,Active,Active,12,348
RC-00134,2024-09-23,Q3 2024,Asia-Pacific,Individual,Premium,Monthly,Organic,0.165,49,1,Product experience,False,False,Churned,Churned,1,49
RC-00135,2024-03-06,Q1 2024,Europe,Individual,Premium,Annual,Organic,0.313,41.65,11,Price,True,False,At risk,Churned,11,458.15
RC-00136,2024-05-19,Q2 2024,Other,Individual,Basic,Monthly,Paid Search,0.201,15,,,True,True,At risk,At risk,12,180
RC-00137,2024-09-12,Q3 2024,North America,Individual,Basic,Monthly,Organic,0.784,15,9,Price,False,False,Active,Churned,9,135
RC-00138,2024-03-27,Q1 2024,North America,Individual,Premium,Monthly,Organic,0.831,49,,,False,False,Active,Active,12,588
RC-00139,2024-07-18,Q3 2024,North America,Individual,Premium,Monthly,Organic,0.497,49,,,False,False,Active,Active,12,588
RC-00140,2024-09-08,Q3 2024,Asia-Pacific,Individual,Premium,Annual,Paid Search,0.553,41.65,,,False,False,Active,Renewed,12,499.8
RC-00141,2024-04-10,Q2 2024,Other,Individual,Standard,Monthly,Partner,0.343,29,10,Price,False,False,Active,Churned,10,290
RC-00142,2024-11-22,Q4 2024,Asia-Pacific,Small Business,Basic,Monthly,Paid Search,0.888,15,,,False,False,Active,Active,12,180
RC-00143,2024-06-21,Q2 2024,North America,Small Business,Standard,Annual,Paid Search,0.485,24.65,,,False,False,Active,Renewed,12,295.8
RC-00144,2024-07-03,Q3 2024,Europe,Small Business,Premium,Monthly,Organic,0.531,49,,,False,False,Active,Active,12,588
RC-00145,2024-11-11,Q4 2024,Other,Freelancer,Standard,Monthly,Organic,0.302,29,2,Changed needs,False,False,Churned,Churned,2,58
RC-00146,2024-01-10,Q1 2024,Europe,Freelancer,Basic,Monthly,Organic,0.867,15,,,False,False,Active,Active,12,180
RC-00147,2024-07-23,Q3 2024,North America,Individual,Premium,Annual,Social,0.349,41.65,11,Alternative,False,False,Active,Churned,11,458.15
RC-00148,2024-03-03,Q1 2024,Other,Individual,Basic,Monthly,Paid Search,0.735,15,,,False,False,Active,Active,12,180
RC-00149,2024-10-22,Q4 2024,North America,Team,Standard,Annual,Paid Search,0.282,24.65,,,True,True,At risk,At risk,12,295.8
RC-00150,2024-12-09,Q4 2024,Asia-Pacific,Individual,Premium,Monthly,Paid Search,0.347,49,1,Price,False,False,Churned,Churned,1,49
RC-00151,2024-07-14,Q3 2024,Europe,Team,Premium,Annual,Social,0.953,41.65,,,False,False,Active,Renewed,12,499.8
RC-00152,2024-06-13,Q2 2024,North America,Individual,Basic,Monthly,Paid Search,0.58,15,,,False,False,Active,Active,12,180
RC-00153,2024-12-27,Q4 2024,Asia-Pacific,Individual,Basic,Annual,Social,0.202,12.75,,,True,True,At risk,At risk,12,153.0
RC-00154,2024-12-22,Q4 2024,Other,Small Business,Basic,Monthly,Organic,0.878,15,10,Alternative,False,False,Active,Churned,10,150
RC-00155,2024-01-03,Q1 2024,North America,Freelancer,Standard,Annual,Referral,0.674,24.65,,,False,True,Active,At risk,12,295.8
RC-00156,2024-05-28,Q2 2024,North America,Individual,Enterprise,Monthly,Organic,0.509,89,,,False,False,Active,Active,12,1068
RC-00157,2024-09-07,Q3 2024,North America,Small Business,Enterprise,Annual,Partner,0.716,75.65,,,False,False,Active,Renewed,12,907.8
RC-00158,2024-02-04,Q1 2024,North America,Freelancer,Basic,Monthly,Organic,0.877,15,,,False,False,Active,Active,12,180
RC-00159,2024-07-08,Q3 2024,Europe,Small Business,Standard,Monthly,Social,0.31,29,8,Alternative,True,False,At risk,Churned,8,232
RC-00160,2024-06-25,Q2 2024,Europe,Individual,Basic,Monthly,Paid Search,0.497,15,,,False,False,Active,Active,12,180
RC-00161,2024-09-02,Q3 2024,Other,Small Business,Basic,Monthly,Organic,0.591,15,10,Alternative,False,False,Active,Churned,10,150
RC-00162,2024-03-08,Q1 2024,North America,Freelancer,Standard,Monthly,Paid Search,0.285,29,,,True,True,At risk,At risk,12,348
RC-00163,2024-07-17,Q3 2024,North America,Individual,Basic,Monthly,Organic,0.619,15,,,False,False,Active,Active,12,180
RC-00164,2024-08-28,Q3 2024,North America,Freelancer,Basic,Annual,Organic,0.669,12.75,,,False,False,Active,Renewed,12,153.0
RC-00165,2024-07-22,Q3 2024,Asia-Pacific,Freelancer,Standard,Monthly,Social,0.716,29,,,False,False,Active,Active,12,348
RC-00166,2024-10-05,Q4 2024,Other,Small Business,Basic,Monthly,Organic,0.312,15,1,Alternative,False,False,Churned,Churned,1,15
RC-00167,2024-12-13,Q4 2024,Europe,Small Business,Basic,Monthly,Paid Search,0.43,15,6,Low usage,False,False,Active,Churned,6,90
RC-00168,2024-12-09,Q4 2024,North America,Individual,Basic,Monthly,Referral,0.289,15,,,True,True,At risk,At risk,12,180
RC-00169,2024-12-20,Q4 2024,Europe,Freelancer,Premium,Monthly,Social,0.751,49,,,False,False,Active,Active,12,588
RC-00170,2024-01-11,Q1 2024,Other,Individual,Basic,Monthly,Social,0.631,15,9,Price,False,False,Active,Churned,9,135
RC-00171,2024-06-01,Q2 2024,Europe,Individual,Enterprise,Annual,Social,0.223,75.65,,,True,True,At risk,At risk,12,907.8
RC-00172,2024-09-09,Q3 2024,Asia-Pacific,Small Business,Basic,Monthly,Organic,0.777,15,,,True,False,At risk,Active,12,180
RC-00173,2024-10-05,Q4 2024,North America,Small Business,Standard,Monthly,Referral,0.533,29,,,False,False,Active,Active,12,348
RC-00174,2024-12-14,Q4 2024,North America,Individual,Basic,Annual,Organic,0.629,12.75,6,Price,False,False,Active,Churned,6,76.5
RC-00175,2024-10-17,Q4 2024,Asia-Pacific,Small Business,Premium,Annual,Referral,0.562,41.65,,,False,False,Active,Renewed,12,499.8
RC-00176,2024-11-22,Q4 2024,Asia-Pacific,Freelancer,Standard,Monthly,Organic,0.32,29,,,True,True,At risk,At risk,12,348
RC-00177,2024-10-03,Q4 2024,North America,Freelancer,Premium,Annual,Paid Search,0.84,41.65,12,Low usage,False,False,Active,Churned,12,499.8
RC-00178,2024-04-15,Q2 2024,Europe,Individual,Standard,Monthly,Referral,0.767,29,,,False,False,Active,Active,12,348
RC-00179,2024-07-12,Q3 2024,North America,Individual,Standard,Monthly,Organic,0.771,29,,,False,False,Active,Active,12,348
RC-00180,2024-11-13,Q4 2024,North America,Freelancer,Standard,Monthly,Paid Search,0.547,29,,,False,True,Active,At risk,12,348
RC-00181,2024-11-09,Q4 2024,Europe,Individual,Basic,Monthly,Referral,0.396,15,,,False,True,Active,At risk,12,180
RC-00182,2024-05-17,Q2 2024,North America,Team,Basic,Monthly,Social,0.328,15,1,Alternative,False,False,Churned,Churned,1,15
RC-00183,2024-06-28,Q2 2024,Europe,Freelancer,Standard,Monthly,Referral,0.713,29,,,False,False,Active,Active,12,348
RC-00184,2024-06-07,Q2 2024,Asia-Pacific,Freelancer,Standard,Monthly,Organic,0.613,29,,,False,False,Active,Active,12,348
RC-00185,2024-01-10,Q1 2024,North America,Team,Basic,Monthly,Social,0.806,15,1,Alternative,False,False,Churned,Churned,1,15
RC-00186,2024-08-26,Q3 2024,Europe,Freelancer,Premium,Monthly,Partner,0.492,49,,,False,True,Active,At risk,12,588
RC-00187,2024-03-06,Q1 2024,North America,Individual,Basic,Monthly,Partner,0.741,15,,,False,False,Active,Active,12,180
RC-00188,2024-01-22,Q1 2024,Asia-Pacific,Individual,Standard,Annual,Social,0.824,24.65,,,False,False,Active,Renewed,12,295.8
RC-00189,2024-09-14,Q3 2024,Asia-Pacific,Individual,Standard,Monthly,Organic,0.431,29,,,False,False,Active,Active,12,348
RC-00190,2024-01-08,Q1 2024,Europe,Individual,Premium,Monthly,Paid Search,0.386,49,12,Low usage,True,False,At risk,Churned,12,588
RC-00191,2024-03-14,Q1 2024,North America,Small Business,Standard,Annual,Referral,0.403,24.65,,,False,False,Active,Renewed,12,295.8
RC-00192,2024-11-26,Q4 2024,Europe,Individual,Basic,Monthly,Organic,0.725,15,,,False,False,Active,Active,12,180
RC-00193,2024-10-21,Q4 2024,North America,Small Business,Standard,Monthly,Organic,0.484,29,,,False,False,Active,Active,12,348
RC-00194,2024-09-10,Q3 2024,Europe,Freelancer,Standard,Monthly,Social,0.707,29,,,False,False,Active,Active,12,348
RC-00195,2024-01-19,Q1 2024,North America,Individual,Basic,Monthly,Organic,0.661,15,,,False,False,Active,Active,12,180
RC-00196,2024-06-01,Q2 2024,Europe,Small Business,Standard,Annual,Paid Search,0.738,24.65,,,False,True,Active,At risk,12,295.8
RC-00197,2024-08-16,Q3 2024,North America,Individual,Basic,Monthly,Social,0.555,15,,,False,False,Active,Active,12,180
RC-00198,2024-06-28,Q2 2024,North America,Individual,Basic,Monthly,Paid Search,0.242,15,3,Price,False,False,Churned,Churned,3,45
RC-00199,2024-09-01,Q3 2024,Europe,Freelancer,Standard,Monthly,Organic,0.244,29,,,True,True,At risk,At risk,12,348
RC-00200,2024-09-20,Q3 2024,North America,Individual,Premium,Monthly,Social,0.19,49,,,True,True,At risk,At risk,12,588
RC-00201,2024-11-28,Q4 2024,North America,Small Business,Basic,Monthly,Referral,0.3,15,3,Price,False,False,Churned,Churned,3,45
RC-00202,2024-11-01,Q4 2024,North America,Small Business,Basic,Monthly,Social,0.86,15,,,False,True,Active,At risk,12,180
RC-00203,2024-07-10,Q3 2024,Europe,Individual,Premium,Annual,Social,0.266,41.65,5,Low usage,True,False,At risk,Churned,5,208.25
